Clau/var,Iterações,Achado
0.375,1,True
0.42857142857142855,2,True
0.4666666666666667,3,True
0.4166666666666667,4,True
0.46153846153846156,2,True
0.3684210526315789,1,True
0.45454545454545453,1,True
0.4117647058823529,6,True
0.47058823529411764,1,True
0.4,4,True
0.3333333333333333,6,True
0.35714285714285715,9,True
0.3333333333333333,2,True
0.4444444444444444,1,True
0.4375,21,True
0.35294117647058826,6,True
0.38461538461538464,1,True
0.3333333333333333,1,True
0.36363636363636365,2,True
0.3333333333333333,1,True
0.9,1,True
0.5833333333333334,8,True
0.7,3,True
0.5384615384615384,2,True
0.8333333333333334,1,True
0.5625,6,True
0.7272727272727273,1,True
0.5454545454545454,1,True
0.8461538461538461,4,True
0.875,2,True
0.9090909090909091,8,True
0.6,20,True
0.8571428571428571,2,True
0.75,1,True
0.8571428571428571,3,True
0.625,1,True
0.75,2,True
0.8,1,True
0.8181818181818182,4,True
0.9230769230769231,6,True
1.3333333333333333,2,True
1.1111111111111112,27,True
1.4,8,True
1.25,1,True
1.1818181818181819,2,True
1.1666666666666667,1,True
1.4,1,True
1.1,3,True
1.4285714285714286,2,True
1.2222222222222223,3,True
1.1666666666666667,1,True
1.2727272727272727,15,True
1.25,4,True
1.3333333333333333,3,True
1.4444444444444444,15,True
1.2,4,True
1.2857142857142858,2,True
1.3,2,True
1.125,2,True
1.3636363636363635,1,True
1.6666666666666667,12,True
1.8333333333333333,26,True
1.6666666666666667,2,True
1.8,9,True
1.6,5,True
1.7142857142857142,1,True
1.75,12,True
1.625,16,True
1.7777777777777777,21,True
1.8888888888888888,2,True
1.8571428571428572,15,True
1.5555555555555556,1,True
1.5714285714285714,4,True
1.6,5,True
1.6666666666666667,1,True
1.875,2,True
1.75,1,True
2.125,21,True
2.4285714285714284,41,True
2.142857142857143,90,True
2.25,5,True
2.1666666666666665,1,True
2.4,3,True
2.2857142857142856,12,True
2.25,52,False
2.2,1,True
2.3333333333333335,2,True
2.3333333333333335,1,True
2.5714285714285716,8,True
2.75,6,True
2.6666666666666665,16,True
2.7142857142857144,1,True
2.6,42,True
2.8,1,True
2.8333333333333335,7,True
2.6666666666666665,238,False
3.4,128,False
3.3333333333333335,3,True
3.2,2,True
3.25,2,True
3.1666666666666665,3,True
3.3333333333333335,1,True
3.75,7,True
3.6666666666666665,9,True
3.8,9,True
3.6,2,True
4.25,60,False
4.2,17,True
4.333333333333333,26,False
4.666666666666667,2,True
4.75,12,True
0.375,3,True
0.42857142857142855,2,True
0.4666666666666667,1,True
0.4166666666666667,1,True
0.46153846153846156,2,True
0.3684210526315789,1,True
0.45454545454545453,3,True
0.4117647058823529,1,True
0.47058823529411764,1,True
0.4,2,True
0.3333333333333333,1,True
0.35714285714285715,1,True
0.3333333333333333,1,True
0.4444444444444444,2,True
0.4375,1,True
0.35294117647058826,2,True
0.38461538461538464,2,True
0.3333333333333333,2,True
0.36363636363636365,1,True
0.3333333333333333,2,True
0.9,1,True
0.5833333333333334,3,True
0.7,2,True
0.5384615384615384,1,True
0.8333333333333334,3,True
0.5625,2,True
0.7272727272727273,2,True
0.5454545454545454,7,True
0.8461538461538461,2,True
0.875,2,True
0.9090909090909091,4,True
0.6,1,True
0.8571428571428571,5,True
0.75,1,True
0.8571428571428571,1,True
0.625,1,True
0.75,4,True
0.8,1,True
0.8181818181818182,4,True
0.9230769230769231,5,True
1.3333333333333333,1,True
1.1111111111111112,1,True
1.4,3,True
1.25,1,True
1.1818181818181819,9,True
1.1666666666666667,4,True
1.4,2,True
1.1,1,True
1.4285714285714286,3,True
1.2222222222222223,1,True
1.1666666666666667,3,True
1.2727272727272727,2,True
1.25,1,True
1.3333333333333333,6,True
1.4444444444444444,1,True
1.2,2,True
1.2857142857142858,1,True
1.3,2,True
1.125,2,True
1.3636363636363635,4,True
1.6666666666666667,3,True
1.8333333333333333,4,True
1.6666666666666667,1,True
1.8,4,True
1.6,2,True
1.7142857142857142,13,True
1.75,14,True
1.625,862,False
1.7777777777777777,2,True
1.8888888888888888,6,True
1.8571428571428572,6,True
1.5555555555555556,5,True
1.5714285714285714,2,True
1.6,3,True
1.6666666666666667,5,True
1.875,8,True
1.75,1,True
2.125,11,True
2.4285714285714284,4,True
2.142857142857143,448,False
2.25,6,True
2.1666666666666665,5,True
2.4,3,True
2.2857142857142856,42,True
2.25,1,True
2.2,1,True
2.3333333333333335,4,True
2.3333333333333335,5,True
2.5714285714285716,389,True
2.75,1,True
2.6666666666666665,27,False
2.7142857142857144,20,True
2.6,3,True
2.8,2,True
2.8333333333333335,6,True
2.6666666666666665,2,True
3.4,124,False
3.3333333333333335,253,False
3.2,8,True
3.25,9,True
3.1666666666666665,8,True
3.3333333333333335,2,True
3.75,3,True
3.6666666666666665,3,True
3.8,51,True
3.6,7,True
4.25,1,True
4.2,7,True
4.333333333333333,2,True
4.666666666666667,6,True
4.75,21,True
0.375,2,True
0.42857142857142855,2,True
0.4666666666666667,1,True
0.4166666666666667,1,True
0.46153846153846156,1,True
0.3684210526315789,2,True
0.45454545454545453,1,True
0.4117647058823529,3,True
0.47058823529411764,2,True
0.4,1,True
0.3333333333333333,1,True
0.35714285714285715,2,True
0.3333333333333333,2,True
0.4444444444444444,4,True
0.4375,3,True
0.35294117647058826,2,True
0.38461538461538464,1,True
0.3333333333333333,1,True
0.36363636363636365,1,True
0.3333333333333333,1,True
0.9,6,True
0.5833333333333334,2,True
0.7,2,True
0.5384615384615384,2,True
0.8333333333333334,4,True
0.5625,2,True
0.7272727272727273,2,True
0.5454545454545454,1,True
0.8461538461538461,3,True
0.875,2,True
0.9090909090909091,1,True
